Rank,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,"Hongkong,China","Hongkong,China","Hongkong,China","Hongkong,China","Hongkong,China","Hongkong,China","Hongkong,China","Hongkong,China","Hongkong,China"
2,"Macao,China","Macao,China","Macao,China","Macao,China","Macao,China","Macao,China","Macao,China","Macao,China","Macao,China"
3,Japan,Japan,Japan,Japan,Japan,Japan,Korea,Korea,Korea
4,Vietnam,Korea,Korea,Vietnam,Korea,Korea,Taiwan,Taiwan,Thailand
5,Korea,Thailand,Vietnam,Korea,Vietnam,Taiwan,Malaysia,Thailand,"Taiwan,China"
6,Russia,Russia,Russia,Russia,Taiwan,Vietnam,Japan,Japan,United States
7,Thailand,United States,Thailand,United States,United States,United States,Thailand,Cambodia,Japan
8,United States,Singapore,United States,Singapore,Russia,Malaysia,United States,United States,Vietnam
9,Singapore,Vietnam,Singapore,Thailand,Singapore,Thailand,Cambodia,Malaysia,Cambodia
10,Malaysia,Malaysia,Malaysia,Malaysia,Thailand,Singapore,Vietnam,Vietnam,Malaysia
