Location,Year,Tourists,Average Rate
"Hongkong,China",2005,13525400,0.949229
"Hongkong,China",2006,14334000,0.97449
"Hongkong,China",2007,16136900,1.024957
"Hongkong,China",2008,17557000,1.120386
"Hongkong,China",2009,18665900,1.134771
"Hongkong,China",2010,23099000,1.147659
"Hongkong,China",2011,28320700,1.204091
"Hongkong,China",2012,34955600,1.229389
"Hongkong,China",2013,40303300,1.260857
"Macao,China",2005,8479200,0.9778
"Macao,China",2006,9895000,1.0025
"Macao,China",2007,12770200,1.056
"Macao,China",2008,15521700,1.1546
"Macao,China",2009,15127600,1.1688
"Macao,China",2010,16112400,1.1818
"Macao,China",2011,19765300,1.2387
"Macao,China",2012,21502900,1.2662
"Macao,China",2013,25239400,1.3008
Korea,2005,843300,124.97144
Korea,2006,1098200,119.791261
Korea,2007,1312500,122.106831
Korea,2008,1374300,158.164024
Korea,2009,1474200,184.836905
Korea,2010,1968600,170.83694
Korea,2011,2367800,171.167433
Korea,2012,2995100,178.483413
Korea,2013,4010300,177.932983
Thailand,2005,595500,4.911292
Thailand,2006,766900,4.754587
Thailand,2007,716900,4.261701
Thailand,2008,623900,4.750178
Thailand,2009,621900,5.00595
Thailand,2010,1014600,4.68407
Thailand,2011,1522600,4.71368
Thailand,2012,2244800,4.92297
Thailand,2013,4253400,4.994009
Malaysia,2005,354700,0.462171
Malaysia,2006,435200,0.459939
Malaysia,2007,573500,0.451859
Malaysia,2008,622600,0.479498
Malaysia,2009,609000,0.514061
Malaysia,2010,1033700,0.475625
Malaysia,2011,1737800,0.47276
Malaysia,2012,1372200,0.489257
Malaysia,2013,1351600,0.512069
Japan,2005,1117000,13.439892
Japan,2006,1280000,14.594641
Japan,2007,1458100,15.459842
Japan,2008,1556500,14.888195
Japan,2009,1552500,13.639809
Japan,2010,1968900,12.966023
Japan,2011,1627900,12.353752
Japan,2012,1962200,12.656439
Japan,2013,1834600,15.867126
United States,2005,270300,0.122042
United States,2006,320000,0.125436
United States,2007,397400,0.131391
United States,2008,493000,0.143886
United States,2009,824200,0.146393
United States,2010,1077600,0.147728
United States,2011,1360400,0.154695
United States,2012,1722000,0.158475
United States,2013,1966900,0.162551
Vietnam,2005,845000,1935.317658
Vietnam,2006,506600,2005.475801
Vietnam,2007,920300,2113.114342
Vietnam,2008,1459000,2365.679428
Vietnam,2009,1343300,2597.74032
Vietnam,2010,1211000,2823.254385
Vietnam,2011,1141500,3184.440474
Vietnam,2012,1339900,3320.523229
Vietnam,2013,1772700,3412.231056
Cambodia,2005,44800,491.9946
Cambodia,2006,82300,508.9675
Cambodia,2007,140500,525.9204
Cambodia,2008,220900,578.9918
Cambodia,2009,222300,606.2077
Cambodia,2010,367200,618.5181
Cambodia,2011,1215500,627.711
Cambodia,2012,1845400,640.3285
Cambodia,2013,1690600,653.5615
"Taiwan,China",2005,0,
"Taiwan,China",2006,0,
"Taiwan,China",2007,0,
"Taiwan,China",2008,330000,
"Taiwan,China",2009,985000,
"Taiwan,China",2010,1661900,
"Taiwan,China",2011,1845000,
"Taiwan,China",2012,2630200,
"Taiwan,China",2013,2918900,
