Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,"International tourism, expenditures (current US$)",79000000.00,128000000.00,161000000.00,140000000.00,151000000.00,163000000.00,156000000.00,172000000.00,213000000.00,248000000.00,250000000.00,241000000.00,270000000.00,272000000.00,264000000.00,261000000.00,287000000.00,294000000.00,340000000.00
Angola,AGO,"International tourism, expenditures (current US$)",112819000.00,110369000.00,125200000.00,95500000.00,142000000.00,146000000.00,80000000.00,52000000.00,49000000.00,86000000.00,135000000.00,393000000.00,473000000.00,447000000.00,270000000.00,275000000.00,323000000.00,292000000.00,319000000.00
Albania,ALB,"International tourism, expenditures (current US$)",19000000.00,25000000.00,13000000.00,22000000.00,35000000.00,290000000.00,269000000.00,386000000.00,507000000.00,669000000.00,808000000.00,989000000.00,1331000000.00,1644000000.00,1693000000.00,1454000000.00,1678000000.00,1374000000.00,1567000000.00
Arab World,ARB,"International tourism, expenditures (current US$)",,,,,,,,24469179617.71,23019690323.27,25503073073.84,35275698173.84,46395579335.54,61476032716.52,61939846067.79,63362075526.67,69446544082.29,67671697564.19,74210790160.47,81208906018.99
United Arab Emirates,ARE,"International tourism, expenditures (current US$)",,,,,,3019000000.00,3321000000.00,3651000000.00,3956000000.00,4472000000.00,6186000000.00,8827000000.00,11273000000.00,13288000000.00,10347000000.00,11818000000.00,13206000000.00,15072000000.00,17699000000.00
Argentina,ARG,"International tourism, expenditures (current US$)",4013000000.00,4449000000.00,4973000000.00,5282000000.00,5228000000.00,5460000000.00,4888000000.00,2744000000.00,2997000000.00,3208000000.00,3554000000.00,4038000000.00,5063000000.00,5962000000.00,5766000000.00,6375000000.00,7477000000.00,8255000000.00,8150000000.00
Armenia,ARM,"International tourism, expenditures (current US$)",12000000.00,26000000.00,45000000.00,55000000.00,51000000.00,56000000.00,59000000.00,85000000.00,97000000.00,216000000.00,255000000.00,297000000.00,363000000.00,397000000.00,398000000.00,462000000.00,546000000.00,556000000.00,579000000.00
Antigua and Barbuda,ATG,"International tourism, expenditures (current US$)",23000000.00,26000000.00,27000000.00,29000000.00,30000000.00,31000000.00,32000000.00,33000000.00,35000000.00,38000000.00,40000000.00,45000000.00,52000000.00,58000000.00,54000000.00,51000000.00,49000000.00,49000000.00,50000000.00
Australia,AUS,"International tourism, expenditures (current US$)",7260000000.00,8223000000.00,8586000000.00,8062000000.00,8574000000.00,8780000000.00,8053000000.00,8494000000.00,10135000000.00,14224000000.00,16153000000.00,17293000000.00,22052000000.00,25557000000.00,22680000000.00,27851000000.00,33916000000.00,35122000000.00,34998000000.00
Austria,AUT,"International tourism, expenditures (current US$)",11686000000.00,11777000000.00,10672000000.00,10399000000.00,7517000000.00,7001000000.00,7408000000.00,7743000000.00,9761000000.00,10812000000.00,11077000000.00,11721000000.00,12825000000.00,13993000000.00,12767000000.00,12213000000.00,12920000000.00,12352000000.00,12698000000.00
Azerbaijan,AZE,"International tourism, expenditures (current US$)",165000000.00,115000000.00,193000000.00,181000000.00,149000000.00,138000000.00,119000000.00,110000000.00,120000000.00,140000000.00,188000000.00,256000000.00,381000000.00,456000000.00,488000000.00,856000000.00,1778000000.00,2617000000.00,3032000000.00
Burundi,BDI,"International tourism, expenditures (current US$)",25000000.00,12000000.00,4000000.00,3000000.00,2000000.00,14000000.00,12000000.00,14000000.00,15000000.00,29000000.00,62000000.00,126000000.00,106000000.00,151000000.00,71000000.00,35000000.00,49000000.00,41000000.00,54000000.00
Belgium,BEL,"International tourism, expenditures (current US$)",8115000000.00,8591000000.00,7895000000.00,8311000000.00,9775000000.00,9429000000.00,10878000000.00,11270000000.00,13402000000.00,15456000000.00,16771000000.00,17891000000.00,19215000000.00,21445000000.00,20191000000.00,20843000000.00,22730000000.00,22240000000.00,23981000000.00
Benin,BEN,"International tourism, expenditures (current US$)",48000000.00,51000000.00,34000000.00,32000000.00,63000000.00,50000000.00,48000000.00,49000000.00,53000000.00,59000000.00,58000000.00,71000000.00,107000000.00,102000000.00,88000000.00,91000000.00,81000000.00,96000000.00,
Burkina Faso,BFA,"International tourism, expenditures (current US$)",,,,,,30000000.00,35000000.00,36000000.00,50000000.00,67000000.00,74000000.00,84000000.00,93000000.00,110000000.00,111000000.00,110000000.00,,,
