CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,"International tourism, expenditures (current US$)",79000000,128000000,161000000,140000000,151000000,163000000,156000000,172000000,213000000,248000000,250000000,241000000,270000000,272000000,264000000,261000000,287000000,294000000,340000000,350000000
Angola,AGO,"International tourism, expenditures (current US$)",112819000,110369000,125200000,95500000,142000000,146000000,80000000,52000000,49000000,86000000,135000000,393000000,473000000,447000000,270000000,275000000,323000000,292000000,319000000,508000000
Albania,ALB,"International tourism, expenditures (current US$)",19000000,25000000,13000000,22000000,35000000,290000000,269000000,386000000,507000000,669000000,808000000,989000000,1331000000,1644000000,1693000000,1454000000,1678000000,1374000000,1567000000,1689000000
United Arab Emirates,ARE,"International tourism, expenditures (current US$)",,,,,,3019000000,3321000000,3651000000,3956000000,4472000000,6186000000,8827000000,11273000000,13288000000,10347000000,11818000000,13206000000,15072000000,16188000000,17740000000
Argentina,ARG,"International tourism, expenditures (current US$)",4013000000,4449000000,4973000000,5282000000,5228000000,5460000000,4888000000,2744000000,2997000000,3208000000,3554000000,4038000000,5063000000,5962000000,5766000000,6375000000,7477000000,8255000000,8150000000,6992000000
Armenia,ARM,"International tourism, expenditures (current US$)",12000000,26000000,45000000,55000000,51000000,56000000,59000000,85000000,97000000,216000000,255000000,300000000,430000000,494000000,496000000,641000000,756000000,874000000,1007000000,1101000000
Antigua and Barbuda,ATG,"International tourism, expenditures (current US$)",23000000,26000000,27000000,29000000,30000000,31000000,32000000,33000000,35000000,38000000,40000000,45000000,52000000,58000000,54000000,51000000,49000000,49000000,50000000,
Australia,AUS,"International tourism, expenditures (current US$)",7260000000,8223000000,8586000000,8062000000,8574000000,8780000000,8053000000,8494000000,10135000000,14224000000,16153000000,17293000000,22052000000,25557000000,22680000000,27851000000,33967000000,35226000000,35198000000,31863000000
Austria,AUT,"International tourism, expenditures (current US$)",11686000000,11777000000,10672000000,10399000000,7517000000,7001000000,7408000000,7743000000,9761000000,10812000000,11077000000,9628000000,10560000000,11431000000,10815000000,10122000000,10550000000,9992000000,10254000000,10849000000
Azerbaijan,AZE,"International tourism, expenditures (current US$)",165000000,115000000,193000000,181000000,149000000,138000000,119000000,110000000,120000000,140000000,188000000,256000000,381000000,456000000,488000000,856000000,1778000000,2617000000,3032000000,3163000000
Burundi,BDI,"International tourism, expenditures (current US$)",25000000,12000000,4000000,3000000,2000000,14000000,12000000,14000000,15000000,29000000,62000000,126000000,106000000,151000000,71000000,35000000,49000000,41000000,54000000,
Belgium,BEL,"International tourism, expenditures (current US$)",8115000000,8591000000,7895000000,8311000000,9775000000,9429000000,10878000000,11270000000,13402000000,15456000000,16771000000,17891000000,19215000000,19514000000,19045000000,18866000000,20658000000,22367000000,24201000000,26404000000
Benin,BEN,"International tourism, expenditures (current US$)",48000000,51000000,34000000,32000000,63000000,50000000,48000000,49000000,53000000,59000000,58000000,71000000,107000000,102000000,88000000,91000000,81000000,96000000,40000000,
Burkina Faso,BFA,"International tourism, expenditures (current US$)",,,,,,30000000,35000000,36000000,50000000,67000000,74000000,84000000,93000000,110000000,111000000,110000000,72000000,77000000,144000000,
